,training,target,algs,NB,trainsize,targetsize
46,11,2,"('aes256', 'sha256')",0.4989013671875,8192,65536
47,11,3,"('aes256', 'sha256')",0.4976348876953125,8192,65536
48,12,0,"('aes256', 'sha256')",0.4992523193359375,8192,65536
49,12,1,"('aes256', 'sha256')",0.50115966796875,8192,65536
50,12,2,"('aes256', 'sha256')",0.4989013671875,8192,65536
51,12,3,"('aes256', 'sha256')",0.4976348876953125,8192,65536
52,13,0,"('aes256', 'sha256')",0.4992523193359375,8192,65536
53,13,1,"('aes256', 'sha256')",0.50115966796875,8192,65536
54,13,2,"('aes256', 'sha256')",0.4989013671875,8192,65536
55,13,3,"('aes256', 'sha256')",0.4976348876953125,8192,65536
56,14,0,"('aes256', 'sha256')",0.4992523193359375,8192,65536
57,14,1,"('aes256', 'sha256')",0.50115966796875,8192,65536
58,14,2,"('aes256', 'sha256')",0.4989013671875,8192,65536
59,14,3,"('aes256', 'sha256')",0.4976348876953125,8192,65536
60,15,0,"('aes256', 'sha256')",0.5007476806640625,8192,65536
61,15,1,"('aes256', 'sha256')",0.49884033203125,8192,65536
62,15,2,"('aes256', 'sha256')",0.5010986328125,8192,65536
63,15,3,"('aes256', 'sha256')",0.5023651123046875,8192,65536
64,16,0,"('aes256', 'sha256')",0.5007476806640625,8192,65536
65,16,1,"('aes256', 'sha256')",0.49884033203125,8192,65536
66,16,2,"('aes256', 'sha256')",0.5010986328125,8192,65536
67,16,3,"('aes256', 'sha256')",0.5023651123046875,8192,65536
68,17,0,"('aes256', 'sha256')",0.5007476806640625,8192,65536
69,17,1,"('aes256', 'sha256')",0.49884033203125,8192,65536
70,17,2,"('aes256', 'sha256')",0.5010986328125,8192,65536
71,17,3,"('aes256', 'sha256')",0.5023651123046875,8192,65536
72,18,0,"('aes256', 'sha256')",0.5007476806640625,8192,65536
73,18,1,"('aes256', 'sha256')",0.49884033203125,8192,65536
74,18,2,"('aes256', 'sha256')",0.5010986328125,8192,65536
75,18,3,"('aes256', 'sha256')",0.5023651123046875,8192,65536
76,19,0,"('aes256', 'sha256')",0.4992523193359375,8192,65536
77,19,1,"('aes256', 'sha256')",0.50115966796875,8192,65536
78,19,2,"('aes256', 'sha256')",0.4989013671875,8192,65536
79,19,3,"('aes256', 'sha256')",0.4976348876953125,8192,65536
80,20,0,"('aes256', 'sha256')",0.5007476806640625,8192,65536
81,20,1,"('aes256', 'sha256')",0.49884033203125,8192,65536
82,20,2,"('aes256', 'sha256')",0.5010986328125,8192,65536
83,20,3,"('aes256', 'sha256')",0.5023651123046875,8192,65536
84,21,0,"('aes256', 'sha256')",0.4992523193359375,8192,65536
85,21,1,"('aes256', 'sha256')",0.50115966796875,8192,65536
86,21,2,"('aes256', 'sha256')",0.4989013671875,8192,65536
87,21,3,"('aes256', 'sha256')",0.4976348876953125,8192,65536
88,22,0,"('aes256', 'sha256')",0.4992523193359375,8192,65536
89,22,1,"('aes256', 'sha256')",0.50115966796875,8192,65536
90,22,2,"('aes256', 'sha256')",0.4989013671875,8192,65536
91,22,3,"('aes256', 'sha256')",0.4976348876953125,8192,65536
92,23,0,"('aes256', 'sha256')",0.4992523193359375,8192,65536
93,23,1,"('aes256', 'sha256')",0.50115966796875,8192,65536
94,23,2,"('aes256', 'sha256')",0.4989013671875,8192,65536
95,23,3,"('aes256', 'sha256')",0.4976348876953125,8192,65536
96,24,0,"('aes256', 'sha256')",0.49883270263671875,8192,65536
97,24,1,"('aes256', 'sha256')",0.50091552734375,8192,65536
98,24,2,"('aes256', 'sha256')",0.4987335205078125,8192,65536
99,24,3,"('aes256', 'sha256')",0.497802734375,8192,65536
100,25,0,"('aes256', 'sha256')",0.5007476806640625,8192,65536
101,25,1,"('aes256', 'sha256')",0.49884033203125,8192,65536
102,25,2,"('aes256', 'sha256')",0.5010986328125,8192,65536
103,25,3,"('aes256', 'sha256')",0.5023651123046875,8192,65536
104,26,0,"('aes256', 'sha256')",0.4992523193359375,8192,65536
